service,...2,Value,Percentage,service_long
DS_ELCS,3,3,32.5301204819277,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Ease_of_logging_into_campus_systems
DS_ELCS,4,4,46.5863453815261,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Ease_of_logging_into_campus_systems
DS_FPC,1,1,3.23886639676113,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_FPC,2,2,4.8582995951417,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_FPC,3,3,33.6032388663968,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_FPC,4,4,58.2995951417004,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_GAIT,1,1,9.72222222222222,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,2,2,11.1111111111111,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,3,3,37.5,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,4,4,41.6666666666667,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_HDTS,1,1,2.91666666666667,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_ticketing_system
DS_HDTS,2,2,11.6666666666667,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_ticketing_system
DS_HDTS,3,3,28.75,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_ticketing_system
