Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Library databases (e.g. JSTOR),2.5,182,73,3,1,4,2,1,2,2,3,2,5,3,3,1,5,3,5,3,2,3,3,4,2,4,,4,1,4,1,4,4,1,1,4,2,1,2,4,2,2,3,1,4,2,1,1,5,4,1,1,2,1,1,2,1,5,1,2,3,3,3,2,3,2,4,1,2,1,5,,5,,1,3,1,1,1
Frequency,Library e-book collections,2.1,151,72,3,1,3,2,2,3,2,1,1,4,1,3,1,4,3,5,3,1,2,2,3,2,4,,1,1,1,1,2,1,1,1,3,2,1,3,3,2,2,2,2,3,2,2,2,5,3,1,1,2,1,1,2,1,2,1,2,3,2,2,1,,2,3,1,2,1,5,,4,,1,3,1,2,2
Frequency,Library reference/research services,2.4,171,71,3,1,4,2,2,2,2,2,2,5,2,3,1,4,4,4,3,2,2,3,2,1,4,,1,1,3,1,2,3,5,1,3,1,1,1,3,2,2,3,2,2,2,2,1,5,4,1,2,2,3,1,1,1,5,5,3,3,2,,2,4,2,4,1,3,1,,,4,,2,3,1,2,2
Frequency,Library research instruction for academic courses,1.8,131,74,3,1,3,1,2,2,1,1,1,2,2,2,1,2,2,1,3,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,3,3,2,2,1,5,2,1,1,2,3,1,1,1,2,2,3,2,5,3,1,4,2,2,1,2,1,3,,1,,1,1,1,2,1
Frequency,LibrarySearch (go/primoca),2.2,160,73,3,1,3,1,1,1,3,1,1,4,2,3,1,2,4,5,3,3,3,2,2,1,4,,1,1,3,1,3,1,5,1,4,1,1,2,1,2,2,2,2,3,2,2,1,5,3,1,1,2,3,1,1,1,5,1,2,4,4,1,2,3,2,4,1,3,1,4,,3,,1,3,1,1,1
Frequency,Online audio/video for academic or work purposes,3.5,253,72,4,1,3,2,4,5,1,1,5,5,1,4,3,5,4,5,4,5,5,1,5,5,1,,5,2,3,3,5,1,2,4,5,5,5,4,4,1,5,5,3,2,5,1,5,2,2,5,5,4,3,1,1,4,5,5,4,4,1,5,3,2,,4,5,5,1,3,,5,,5,2,4,5,4
Frequency,Physical course reserves,1.4,104,72,2,1,1,2,2,1,1,1,1,3,1,2,1,1,1,1,3,1,1,2,1,1,1,,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,3,,1,2,1,1,1,1,1,4,1,1,1,2,2,2,2,1,1,1,3,1,2,1,1,1,2,,2,,1,1,2,1,3
Frequency,Physical library collections,1.7,124,73,2,1,4,1,1,1,1,1,1,4,2,3,1,2,3,1,2,2,1,1,2,1,1,,2,1,2,1,2,1,5,1,2,2,1,1,1,1,1,2,2,3,2,2,1,3,1,1,1,2,3,1,3,1,3,1,2,2,2,2,1,3,2,1,1,1,1,3,,2,,1,1,1,2,1
Importance,Access to online resources from off-campus,3.8,262,69,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,1,,4,4,4,4,4,,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,3,4,4,3,4,1,4,,4,,,4,4,4,4
Importance,Copyright and Fair Use support,2.4,141,60,2,2,3,1,,3,,1,2,3,2,3,,2,4,2,,3,3,1,3,2,2,,1,2,2,1,,,1,2,2,2,,4,1,2,2,2,4,3,4,2,2,2,,,3,4,3,3,,2,1,2,4,2,3,3,,2,4,3,3,1,1,3,,1,,,2,,3,3
Importance,"Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes",2.7,174,65,2,,3,,,2,4,2,4,3,4,2,,2,3,3,3,4,3,2,3,4,2,,1,3,2,1,1,4,1,2,2,4,,4,3,4,4,3,4,3,1,3,2,1,2,,4,4,4,2,,2,1,4,2,2,1,2,2,4,4,4,4,3,1,3,,1,,,2,3,3,2
Importance,High performance computing,2.1,106,50,2,1,3,1,,2,,1,,2,3,4,,1,,1,,3,2,2,1,,4,,1,2,1,2,,,1,4,,2,,2,1,3,,,3,3,3,2,1,2,,,1,2,3,,,1,2,,,1,3,3,,3,4,3,3,1,1,3,,1,,,4,,,1
Importance,"Institute Library web site (go/miislibrary) (e.g. library hours, policies)",3.0,202,67,3,4,3,1,3,4,2,2,2,3,4,4,,3,4,3,4,2,4,4,3,1,3,,2,2,4,1,,3,4,4,4,3,,3,1,2,3,4,4,2,3,2,3,3,4,,3,3,3,3,,1,4,2,4,4,4,3,4,2,4,3,3,3,1,4,,4,,,4,3,4,2
Importance,Library databases (e.g. JSTOR),3.2,206,64,3,3,3,2,,4,3,4,2,4,3,4,4,4,4,4,4,3,4,4,4,3,4,,4,2,4,1,,,1,3,4,2,2,2,4,3,4,4,4,3,3,2,,4,4,,3,4,3,,,2,4,2,4,4,3,4,2,3,4,4,,3,1,4,,4,,,4,2,2,3
Importance,Library e-book collections,3.1,202,66,3,4,4,2,2,4,3,1,2,4,3,4,,4,4,4,3,2,2,2,4,3,4,,3,2,3,1,,4,1,3,4,2,,1,3,3,4,3,4,3,3,2,3,4,4,,4,4,4,3,,2,2,2,4,4,3,3,2,3,4,4,,4,1,4,,4,,,4,2,3,4
Importance,Library reference/research services,3.0,196,66,3,,4,2,3,4,3,3,2,4,2,4,4,3,4,4,3,3,3,3,3,2,4,,1,3,4,1,2,,4,2,3,2,,2,3,2,4,3,4,3,3,2,2,4,4,,2,4,3,2,,1,4,,4,4,4,3,3,3,4,2,2,4,1,4,,4,,,3,2,3,2
Importance,Library research instruction for academic courses,2.6,170,65,3,,4,2,3,4,3,1,2,3,2,4,4,3,3,4,3,3,2,3,3,2,1,,2,3,2,1,2,,4,2,2,2,,1,3,2,2,3,4,3,3,2,2,4,4,,2,4,3,,,1,1,,4,2,4,2,2,3,4,1,2,3,1,4,,3,,,2,2,3,2
