StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,USE_CMS,USE_TMS,USE_STMS,USE_ITS,USE_IDS,USE_CS,USE_GAIT,USE_LIAC,USE_LDL,USE_LSG,USE_LDB,USE_FPC,USE_HDTS,USE_CCL,USE_DASS,USE_HPC,USE_DSDH,USE_BL,USE_BTE,USE_IPFS,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_TRCTP,IMP_ITS,IMP_IDS,IMP_CS,IMP_GAIT,IMP_SGAIT,IMP_LIAC,IMP_LSSR,IMP_LSSSR,IMP_SSCN,IMP_LDL,IMP_LSG,IMP_LDB,IMP_AFTM,IMP_FPC,IMP_CFCPS,IMP_HDTS,IMP_SDCP,IMP_TRDCP,IMP_CCL,IMP_DASS,IMP_HPC,IMP_DHDS,IMP_BL,IMP_BTE,IMP_AWAC,IMP_PWAC,IMP_ELCS,IMP_IPFS,IMP_RCTN,IMP_ICDA,IMP_ILDA,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_TRCTP,DS_ITS,DS_IDS,DS_CS,DS_GAIT,DS_SGAIT,DS_LIAC,DS_LSSR,DS_LSSSR,DS_SSCN,DS_LDL,DS_LSG,DS_LDB,DS_AFTM,DS_FPC,DS_CFCPS,DS_HDTS,DS_SDCP,DS_TRDCP,DS_CCL,DS_DASS,DS_HPC,DS_DHDS,DS_BL,DS_BTE,DS_AWAC,DS_PWAC,DS_ELCS,DS_IPFS,DS_RCTN,DS_ICDA,DS_ILDA,EITS,ELS,INF_ATS,INF_ALS,INF_AATD,INF_ATRW,INF_GAIT,INF_CITN,DAIT_F,DAIT_K,DAIT_RL,DAIT_RS,AP_GAIT,LRN_CMS,LRN_TMS,LRN_GAIT,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,FTIME,RANK,RANK_5_TEXT,TEN,AGE,COMMENT
3/7/2024 8:53,3/7/2024 9:04,0,100,638,1,3/7/2024 9:04,email,EN,4,4,2,2,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,2,3,2,4,4,4,2,1,1,1,1,1,1,1,4,1,1,1,1,4,2,4,4,4,2,1,4,1,2,2,4,4,4,2,4,2,1,3,4,3,3,3,3,4,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,4,4,4,4,4,3,-99,3,-99,4,-99,3,3,3,4,3,3,-99,-99,-99,2,2,2,2,1,2,4,4,4,4,9,2,2,2,2,2,2,2,2,2,0,3,-99,1,57.5,-99
3/7/2024 9:09,3/7/2024 9:14,0,100,310,1,3/7/2024 9:14,email,EN,1,3,3,2,1,5,1,1,5,1,1,3,2,3,1,1,1,1,1,1,4,3,4,4,3,4,3,4,3,2,4,3,2,4,2,3,3,3,3,-99,2,4,4,2,3,4,3,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,3,3,3,3,3,3,4,4,4,4,9,1,1,1,2,2,2,2,2,2,1,2,-99,2,42.5,-99
3/7/2024 8:55,3/7/2024 9:16,0,100,1251,1,3/7/2024 9:16,email,EN,5,5,2,2,2,5,1,2,4,2,4,3,3,4,1,1,1,2,2,5,4,4,4,4,4,4,2,4,2,4,3,4,4,3,4,2,4,4,4,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,3,3,4,-99,4,4,4,4,4,4,-99,-99,4,4,4,-99,4,4,4,3,4,4,4,4,4,4,-99,-99,4,-99,-99,3,3,4,4,4,-99,-99,-99,-99,2,2,1,2,1,1,4,4,4,4,9,2,2,4,3,3,3,-99,-99,-99,0,4,-99,3,62.5,-99
3/7/2024 9:04,3/7/2024 9:17,0,100,737,1,3/7/2024 9:17,email,EN,5,5,2,2,2,5,1,2,4,1,5,3,3,3,1,3,1,1,4,5,4,4,4,4,4,4,2,4,1,1,3,3,4,4,2,2,4,4,4,2,4,4,4,4,2,4,1,2,3,4,4,4,4,4,3,3,4,3,4,4,4,4,2,3,-99,-99,3,3,3,1,-99,-99,3,2,1,1,2,1,1,3,3,4,-99,-99,4,3,2,3,4,3,2,2,-99,-99,2,2,1,2,1,3,4,4,4,4,9,2,1,1,3,3,2,4,4,1,1,2,-99,2,37.5,-99
3/7/2024 9:08,3/7/2024 9:18,0,100,596,1,3/7/2024 9:18,email,EN,5,3,2,1,1,5,1,4,1,2,4,2,3,1,1,1,1,1,2,1,4,4,4,4,4,2,1,4,1,1,1,4,3,1,1,3,4,1,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,2,1,1,4,4,4,4,4,4,-99,4,-99,-99,-99,4,4,-99,-99,-99,4,-99,4,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,3,4,4,4,-99,-99,I'm satisfied.,"Maybe the occasional event that celebrates books and libraries, and librarians!",3,3,1,3,3,4,4,4,4,4,9,1,1,3,1,2,2,3,3,1,1,5,Scholar in Residence,1,67.5,I really appreciate all the work you do and services you provide and support. Thank you!
3/7/2024 9:16,3/7/2024 9:27,0,100,635,1,3/7/2024 9:27,email,EN,1,3,3,2,1,4,1,2,4,3,4,4,4,1,1,1,1,1,2,4,1,1,4,4,4,-99,1,2,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,1,1,1,1,1,3,4,4,4,3,3,3,3,-99,-99,4,4,4,-99,-99,-99,-99,-99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,-99,-99,4,4,4,4,4,4,4,4,Sometimes the people who answer at the helpdesk aren't as helpful as one could hope...,All good here,2,2,2,2,2,2,-99,-99,-99,-99,4,1,2,2,1,1,1,1,1,3,1,4,-99,3,77.5,-99
3/7/2024 9:19,3/7/2024 9:27,0,100,519,1,3/7/2024 9:27,email,EN,5,5,2,2,1,5,1,1,1,1,2,3,3,1,1,1,1,1,1,1,4,4,4,4,4,2,1,4,1,1,3,2,3,4,1,1,4,4,4,4,4,4,4,3,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,-99,3,-99,-99,4,4,4,4,-99,-99,-99,1,3,2,2,2,2,-99,-99,-99,-99,4,4,4,4,4,3,2,1,1,Helpdesk should be responding on the weekends to better align with academic work schedule and issues that arise at unusual times.,-99,2,1,1,1,1,2,3,2,2,3,9,3,3,1,1,2,1,2,2,1,1,3,-99,3,47.5,-99
3/7/2024 9:13,3/7/2024 9:28,0,100,883,1,3/7/2024 9:28,email,EN,5,5,2,2,1,5,1,2,5,3,5,2,2,1,1,1,1,1,2,5,4,4,4,4,4,4,2,4,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,2,-99,-99,3,2,2,4,4,4,4,4,4,4,3,3,3,4,4,4,-99,4,-99,-99,2,4,3,4,2,3,4,4,4,4,4,4,4,-99,-99,-99,-99,-99,4,4,4,3,4,4,3,3,I'm quite satisfied with ITS.,"It may be something I'm doing wrong, but so far I find LibrarySearch lacking. More then once I've searched for something on LibrarySearch and got nothing. Then I did the exact same search on WorldCat and found what I was looking for.",3,3,1,3,1,3,4,4,4,4,9,2,2,4,2,1,1,4,4,4,1,4,-99,3,67.5,-99
3/7/2024 8:52,3/7/2024 9:29,0,100,2199,1,3/7/2024 9:29,email,EN,5,4,2,2,2,4,1,1,3,1,3,2,2,1,1,1,1,2,1,5,4,4,4,4,4,2,2,4,2,3,3,2,3,4,4,2,4,4,4,4,4,4,4,2,1,2,1,3,2,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,-99,-99,-99,3,-99,3,3,-99,2,2,3,3,3,3,4,3,-99,3,-99,3,-99,3,1,2,4,3,3,3,-99,-99,3,2,2,3,2,3,4,3,3,4,9,1,2,3,3,3,3,3,3,1,1,2,-99,2,37.5,-99
3/7/2024 9:30,3/7/2024 9:36,0,100,353,1,3/7/2024 9:36,email,EN,2,5,2,1,2,5,1,2,3,2,5,3,3,1,1,1,2,2,1,1,1,1,4,4,4,4,3,3,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,3,1,1,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,4,4,4,4,4,4,4,4,4,4,-99,-99,2,2,2,2,2,3,4,4,4,4,9,2,2,2,2,3,3,2,2,2,1,2,-99,1,47.5,-99
