Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Quiet work space in the library,2.8,669,241,4,1,3,1,1,4,5,5,2,2,1,3,2,5,2,2,1,3,2,5,2,4,1,4,4,1,4,5,2,3,3,3,1,2,3,1,4,1,4,1,1,3,1,1,5,4,1,2,1,2,5,1,5,2,2,4,4,4,1,3,1,1,3,5,5,5,5,4,3,3,1,4,1,1,3,1,2,4,5,5,1,4,1,4,4,1,1,4,3,2,3,1,1,1,1,4,1,1,2,5,4,,3,3,1,3,4,4,1,2,3,1,3,1,5,4,1,5,3,4,5,4,3,2,1,5,1,4,3,3,1,1,1,4,4,4,4,3,5,1,5,1,4,4,5,1,5,1,3,3,5,4,1,1,1,2,1,1,1,4,2,1,5,5,1,1,2,1,2,2,1,1,3,4,5,1,5,2,3,5,4,1,2,2,1,1,2,,,2,2,1,2,4,2,3,2,1,1,1,3,4,5,4,4,5,5,4,1,5,1,5,5,1,,5,4,5,4,3,4,1,5,5,,5,4,1,,3,,5,,,,2,3,1,,,1,2,5,,,,,2,,,5,1,3,,3,5,,,,2,,5,,3,1
Frequency,Library reference/research services,2.6,610,239,3,2,3,3,2,3,2,3,1,4,4,2,2,2,2,3,2,1,1,3,3,4,3,5,4,3,2,5,3,1,3,4,5,1,4,2,1,2,2,1,1,3,1,1,4,4,5,5,2,3,2,5,3,2,1,4,3,3,3,2,2,3,2,3,4,3,3,3,2,3,1,4,3,2,2,1,2,5,1,2,1,3,2,3,1,3,1,3,2,2,4,2,1,5,1,3,,3,4,1,2,,2,4,2,2,2,3,2,3,5,3,2,1,2,4,2,2,3,3,2,3,3,2,3,4,3,2,2,2,2,5,3,2,4,3,3,4,5,1,5,1,2,1,2,2,2,1,2,2,3,2,1,3,1,3,2,1,2,2,3,3,1,4,3,2,1,3,1,2,3,3,3,2,1,2,1,4,2,5,2,1,1,2,2,4,2,,,3,3,1,3,3,3,1,,4,3,2,2,2,4,4,2,2,2,3,2,1,1,5,3,2,,2,1,5,3,2,3,2,3,2,,4,4,2,,1,,4,,,,3,1,2,,,3,2,3,,,,,1,,,4,3,4,,3,3,,,,3,,2,,4,1
Frequency,Library databases (e.g. JSTOR),2.4,574,239,1,2,3,3,2,1,2,3,1,2,5,2,3,1,2,2,2,1,1,4,2,3,2,5,1,2,2,5,2,2,4,4,2,1,1,1,2,2,2,1,2,3,1,1,4,5,5,4,3,1,2,5,1,2,1,3,4,5,2,4,2,3,1,2,5,4,3,3,2,4,1,3,3,1,2,1,2,5,4,3,1,3,3,4,1,3,1,3,2,2,5,1,1,5,1,3,1,3,4,1,4,,4,2,1,2,1,5,2,2,4,5,1,1,4,4,2,4,5,3,2,1,2,2,2,5,3,1,2,3,2,5,3,1,2,1,1,4,5,1,1,1,1,1,3,2,2,1,3,4,2,2,1,5,5,3,1,1,1,3,3,1,1,4,4,1,2,1,1,1,3,1,3,3,,1,2,1,2,4,2,1,2,1,1,4,2,,,1,4,1,3,2,2,1,1,3,,1,2,2,5,3,2,5,1,1,2,1,1,,4,3,,3,4,4,3,2,2,2,3,4,3,2,4,1,,1,,2,,,,4,1,1,,,3,1,2,,,,,1,,,2,3,1,,4,3,,,,3,,1,,4,1
Frequency,Group study spaces in the library,2.4,575,241,1,1,2,1,1,4,2,4,3,2,1,3,4,5,1,2,1,3,2,5,2,4,1,4,4,3,2,3,2,5,1,3,1,3,2,1,4,1,3,1,1,2,1,1,2,3,1,1,1,1,4,1,5,2,1,2,4,3,1,3,1,1,1,1,3,5,5,3,4,3,1,5,1,1,3,1,2,4,5,2,1,4,1,4,4,1,1,3,3,2,3,1,1,1,1,3,1,1,2,2,5,,3,2,1,2,3,2,1,2,3,1,1,1,5,4,1,1,3,4,1,4,1,1,4,5,2,1,2,3,1,1,1,4,4,4,2,3,5,1,5,1,4,5,3,1,5,1,4,1,5,4,1,1,1,2,1,1,1,1,1,1,5,5,1,1,3,1,2,1,1,1,4,4,5,1,5,2,1,5,3,1,2,2,1,1,5,,,1,3,1,2,4,1,4,2,1,1,1,3,2,5,4,2,4,5,2,1,1,1,3,5,1,,5,2,5,4,2,4,1,5,2,,5,3,1,,2,,4,,,,2,2,1,,,1,1,3,,,,,2,,,3,1,2,,2,5,,,,2,,3,,1,1
Frequency,"Library Web site (e.g. library hours, policies)",2.0,487,240,2,1,3,3,1,2,2,2,3,2,1,2,1,5,2,2,1,1,2,3,1,5,2,3,2,2,2,5,2,2,2,3,2,1,2,1,1,2,2,1,1,1,1,1,3,3,1,2,2,3,1,1,2,2,1,3,4,4,1,3,1,1,1,1,3,1,5,1,3,3,1,1,1,1,2,1,3,3,2,3,1,2,2,3,3,1,1,2,3,2,2,1,1,1,1,4,1,1,3,2,1,,2,4,2,1,3,3,2,2,3,1,3,1,2,1,1,4,1,3,2,1,3,1,1,4,2,2,2,2,1,4,3,2,2,3,1,2,5,1,,1,3,4,1,1,3,1,2,2,3,2,1,1,1,2,1,1,2,2,2,1,3,4,1,1,2,1,2,1,1,1,2,1,1,1,3,2,1,3,2,1,2,2,1,4,3,,,3,3,2,2,3,3,1,2,2,2,2,2,3,1,3,2,5,1,3,1,1,1,5,1,3,,3,3,3,3,1,1,1,2,2,,3,4,1,,1,,2,,,,2,1,2,,,3,1,2,,,,,1,,,4,2,2,,3,2,,,,2,,3,,3,1
Frequency,LibrarySearch (go/primoca),2.0,484,239,1,2,3,3,2,3,3,4,1,3,4,2,1,1,1,2,2,2,1,3,2,4,1,5,2,2,2,5,2,2,1,1,5,1,2,2,1,2,2,1,1,3,1,1,1,3,2,3,1,,2,5,2,2,1,3,4,4,3,1,1,3,2,3,4,1,3,1,2,1,1,3,3,1,2,1,2,3,1,4,1,3,2,3,1,3,1,3,2,2,3,2,1,4,1,3,1,3,2,1,2,,1,2,1,2,1,3,1,2,4,1,1,1,1,4,2,2,1,3,1,1,2,2,2,2,1,1,2,2,1,3,1,2,2,2,2,4,5,1,1,1,2,1,2,1,1,1,1,3,1,2,1,3,1,3,1,1,2,1,3,1,1,3,3,1,2,2,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,2,1,4,2,,,2,3,1,3,2,2,1,1,4,,1,2,2,2,1,2,2,3,2,2,1,1,5,1,4,,3,4,2,1,1,1,2,1,1,,3,4,1,,1,,3,,,,3,1,1,,,3,1,4,,,,,1,,,5,4,1,,4,3,,,,3,,2,,3,1
Frequency,Library e-book collections,2.0,480,240,1,1,2,2,1,1,2,2,2,2,3,1,3,1,1,2,2,,1,3,3,3,1,4,2,3,2,3,2,1,4,1,2,1,2,2,1,2,1,1,1,2,5,1,3,4,2,3,2,3,2,4,1,2,1,3,4,2,3,1,,1,1,2,3,1,3,2,3,1,1,3,3,1,1,1,2,4,4,2,2,3,2,2,1,3,2,3,2,2,2,1,1,2,1,2,1,1,3,2,2,,4,2,1,2,2,4,1,2,4,1,2,1,1,4,3,2,1,3,1,1,1,1,2,1,2,1,3,1,2,5,3,2,3,3,1,3,5,1,1,1,1,1,2,2,1,1,3,2,2,2,1,3,1,1,4,1,2,2,3,1,1,3,3,2,1,2,1,1,2,1,1,2,1,1,2,1,1,3,3,1,1,1,2,3,2,,,3,1,1,2,3,2,1,1,2,2,1,2,2,5,2,2,3,3,1,3,1,1,5,2,3,,1,3,3,2,1,3,2,2,2,3,2,3,1,,1,,2,,,,3,3,1,,,1,1,2,,,,,2,,,4,1,1,,3,1,,,,3,,1,,3,1
Frequency,Physical library collections,1.8,424,237,3,1,2,2,1,2,3,3,2,2,1,1,2,1,1,2,2,2,1,1,2,3,1,3,3,2,2,3,1,2,3,2,1,1,2,1,1,1,2,1,1,2,1,1,1,3,1,4,1,2,2,1,3,3,1,3,4,2,1,1,1,1,1,2,3,2,,3,2,2,1,3,3,1,1,1,2,4,3,2,1,3,1,3,2,1,1,2,2,2,3,1,1,1,1,2,1,1,,1,1,,1,2,1,2,2,2,1,2,4,1,1,1,2,4,3,2,1,3,2,1,3,1,2,1,1,2,2,1,1,1,1,2,3,2,2,3,5,1,1,1,1,1,2,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,3,1,1,2,1,1,1,,,2,1,1,2,2,2,1,2,1,5,1,2,2,5,,2,2,3,1,2,1,1,5,1,1,,1,1,4,2,3,3,1,1,1,,2,4,1,,3,,2,,,,2,1,1,,,1,1,4,,,,,1,,,3,1,4,,4,3,,,,3,,2,,3,1
Frequency,Public computers in the library,1.7,421,241,2,1,1,1,1,3,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,4,4,3,3,1,2,2,2,4,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,2,1,2,3,1,1,2,2,2,2,1,1,3,1,1,1,1,3,3,2,1,3,1,1,2,1,1,1,1,2,3,2,5,1,3,1,3,1,1,1,1,3,2,1,1,1,1,1,2,2,1,2,3,1,,1,2,1,3,3,1,1,3,2,1,1,1,3,1,1,1,3,3,1,4,2,1,1,2,2,3,3,3,1,1,1,2,4,3,3,2,5,1,5,1,3,3,1,1,2,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,3,1,2,1,1,1,1,,,1,3,2,1,2,1,1,1,3,1,1,3,1,5,4,2,2,1,1,1,1,1,1,1,1,,1,1,3,4,3,2,1,5,3,,2,2,1,,1,,1,,,,2,1,1,,,1,2,2,,,,,1,,,3,1,1,,1,2,,,,1,,4,,2,1
Frequency,Library subject guides,1.6,386,237,1,1,3,1,1,1,3,3,1,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,3,2,1,2,1,4,1,2,1,1,2,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,2,1,2,4,2,3,1,1,2,1,2,3,1,3,1,1,1,1,3,3,1,1,1,2,3,1,3,1,3,2,1,1,1,1,3,2,2,4,1,1,1,1,2,1,1,2,1,1,,1,2,1,2,1,3,1,2,2,1,1,1,1,3,2,2,1,3,2,1,2,1,2,2,1,1,1,1,1,3,2,,1,1,2,3,5,1,1,1,2,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,,,2,2,1,2,2,2,1,1,4,,1,2,2,,1,2,4,3,1,2,1,1,,1,3,,1,1,2,1,1,1,2,2,1,,3,2,1,,1,,2,,,,1,1,1,,,1,1,2,,,,,1,,,2,4,1,,3,2,,,,3,,2,,3,1
